taxa 1 group,taxa 2 group,interaction,asymmetric,effect on taxa 1,effect on taxa 2,definition,notes
invertebrate,invertebrate,competition-,no,-1,-1,"competing over something other than food,...; indicate what the competition is over, with a word after ""competition-"". both species = -1",NA
invertebrate,reptile,commensalism-scavenge,yes,1,0,case of commensalism in which one species consumes/scavanges a previously deceased individuals or deserted/addled eggs: scavenger=1; carcass=0,NA
invertebrate,invertebrate,competition-food,no,-1,-1,competing over food. both species = -1,NA
invertebrate,invertebrate,competition-territory,no,-1,-1,competing over territory. both species = -1,NA
invertebrate,invertebrate,intraguild predation,yes,1,-1,two species that compete for the same prey also prey upon each other.,NA
invertebrate,invertebrate,copulation,no,0,0,mating across species (whether successful or not); could result in hybridization; both species = 0,NA
invertebrate,invertebrate,courtship,no,0,0,one species attempts to court another; both species = 0,NA
invertebrate,invertebrate,facilitation-alarm signaling,no,1,1,"collective warning of danger through chemical, acoustic, or vibrational means by one species that are recognized/acted upon by another to evade or defend against a predator",NA
invertebrate,invertebrate,facilitation,no,1,1,where both species benefit (if we do not have a specific interaction for it); both species = 1,NA
invertebrate,invertebrate,facilitation-swarming,no,1,1,"collective behavior driven by local interactions, environmental cues (like temperature or humidity), and chemical signals (pheromones) to facilitate mating, migration, or foraging",NA
invertebrate,invertebrate,hybridization,no,0,0,when species successfully mate and produce hybrid offspring; includes intergrades (hybrids of subspecies). both species = 0,NA
invertebrate,plant,herbivory-synzoochory,no,1,1,"intentional seed dispersal, includes burying, hoarding, caching them, or mouth-dispersal","some seeds may get eaten, but results in general net positive effect"
invertebrate,plant,herbivory-stomatochory,no,1,1,fruits or seeds being carried in the mouth or the beak of the animal—for immediate consumption—rather than caching and are dispersed without been swallowed,NA
invertebrate,plant,pollination,no,1,1,transfer of pollen between flowers as a result of feeding on nectar or pollen,NA
invertebrate,invertebrate,amensalism,yes,0,-1,"one species causes harm to another species without any cost or benefits to itself; harmful species = 0, harmed species = -1",NA
invertebrate,invertebrate,commensalism,yes,0,1,one species benefits and the other receives no effect. species that benefits from the interaction = 1; species that provides the benefit = 0.,NA
invertebrate,invertebrate,commensalism-scavenge,yes,1,0,case of commensalism in which one species consumes/scavanges a previously deceased individuals or deserted/addled eggs: scavenger=1; carcass=0,NA
invertebrate,invertebrate,defense,yes,1,-1,species employs mechanisms to protect themselves from negative outcomes,NA
invertebrate,invertebrate,defense-chemical,yes,1,-1,"release of chemical defenses on predator (e.g., chemical sprays)",NA
invertebrate,invertebrate,defense-envenomation,yes,1,-1,"the injection of poisonous venom into threat species (via bite, sting, or spray)",NA
invertebrate,invertebrate,defense-physical,yes,1,-1,structural adaptations (spines) to defend against herbivory,NA
invertebrate,invertebrate,kleptoparasitism-food,yes,-1,1,one species steals food from another species. species that steals and benefits = 1; species that is stolen from = -1,NA
invertebrate,invertebrate,mobbing,yes,1,-1,"usually indicative of predation, where the smaller bird mobs the bigger animal. The species doing the mobbing (usually potential prey) = 1; the species receiving the mobbing = -1 (the potential predator). This is because mobbing is almost always deterring a predator, so the predator loses out.",NA
invertebrate,invertebrate,nest predation,yes,-1,1,where one species preys upon or consumes the young in a nest of another species; species that consumes = 1; species who is prey = -1,NA
invertebrate,invertebrate,nest takeover,yes,-1,1,where one species takes over (steals) the nest of another species. species that takes over = 1; species whose nest is stolen = -1,NA
invertebrate,invertebrate,predation,yes,1,-1,predator eats prey. predator = 1; prey = -1,NA
bird,invertebrate,amensalism,yes,0,-1,"one species causes harm to another species without any cost or benefits to itself; harmful species = 0, harmed species = -1",NA
bird,invertebrate,nest predation,yes,1,-1,where one species preys upon or consumes the young in a nest of another species; species that consumes = 1; species who is prey = -1,NA
bird,invertebrate,predation,yes,1,-1,predator eats prey,NA
invertebrate,bird,defense,yes,1,-1,species employs mechanisms to protect themselves from negative outcomes,NA
